Symbol,Date,Close
NVDA,10/15/15,27.43
NVDA,10/16/15,27.860001
NVDA,10/19/15,27.809999
NVDA,10/20/15,27.77
NVDA,10/21/15,27.41
NVDA,10/22/15,28.4
NVDA,10/23/15,28.59
NVDA,10/26/15,28.459999
NVDA,10/27/15,28.440001
NVDA,10/28/15,28.67
NVDA,10/29/15,27.68
NVDA,10/30/15,28.370001
NVDA,11/2/15,28.700001
NVDA,11/3/15,28.5
NVDA,11/4/15,28.030001
NVDA,11/5/15,27.709999
NVDA,11/6/15,31.549999
NVDA,11/9/15,31.41
NVDA,11/10/15,30.809999
NVDA,11/11/15,30.51
NVDA,11/12/15,30.4
NVDA,11/13/15,29.799999
NVDA,11/16/15,30.4
NVDA,11/17/15,30.4
NVDA,11/18/15,31.030001
NVDA,11/19/15,31.120001
NVDA,11/20/15,31.389999
NVDA,11/23/15,30.92
NVDA,11/24/15,31.17
NVDA,11/25/15,31.129999
NVDA,11/27/15,31.389999
NVDA,11/30/15,31.719999
NVDA,12/1/15,32.75
NVDA,12/2/15,32.5
NVDA,12/3/15,32.43
NVDA,12/4/15,33.75
NVDA,12/7/15,33.110001
NVDA,12/8/15,33.560001
NVDA,12/9/15,32.709999
NVDA,12/10/15,32.98
NVDA,12/11/15,32.490002
NVDA,12/14/15,32.57
NVDA,12/15/15,32.970001
NVDA,12/16/15,33.169998
NVDA,12/17/15,32.669998
NVDA,12/18/15,32.139999
NVDA,12/21/15,32.900002
NVDA,12/22/15,32.93
NVDA,12/23/15,33.060001
NVDA,12/24/15,33.169998
NVDA,12/28/15,33.139999
NVDA,12/29/15,33.68
NVDA,12/30/15,33.389999
NVDA,12/31/15,32.959999
NVDA,1/4/16,32.369999
NVDA,1/5/16,32.889999
NVDA,1/6/16,31.530001
NVDA,1/7/16,30.280001
NVDA,1/8/16,29.629999
NVDA,1/11/16,29.68
NVDA,1/12/16,30.18
NVDA,1/13/16,29.26
NVDA,1/14/16,28.67
NVDA,1/15/16,27.110001
NVDA,1/19/16,27.33
NVDA,1/20/16,27.48
NVDA,1/21/16,27.799999
NVDA,1/22/16,28.450001
NVDA,1/25/16,28.42
NVDA,1/26/16,28.700001
NVDA,1/27/16,28.360001
NVDA,1/28/16,28.049999
NVDA,1/29/16,29.290001
NVDA,2/1/16,29.299999
NVDA,2/2/16,28.059999
NVDA,2/3/16,28.200001
NVDA,2/4/16,28.209999
NVDA,2/5/16,26.43
NVDA,2/8/16,25.219999
NVDA,2/9/16,25.49
NVDA,2/10/16,25.43
NVDA,2/11/16,25.299999
NVDA,2/12/16,25.73
NVDA,2/16/16,26.99
NVDA,2/17/16,27.66
NVDA,2/18/16,30.040001
NVDA,2/19/16,30.440001
NVDA,2/22/16,31.52
NVDA,2/23/16,31.6
NVDA,2/24/16,31.82
NVDA,2/25/16,31.889999
NVDA,2/26/16,31.68
NVDA,2/29/16,31.360001
NVDA,3/1/16,32.75
NVDA,3/2/16,32.939999
NVDA,3/3/16,32.650002
NVDA,3/4/16,32.549999
NVDA,3/7/16,32.34
NVDA,3/8/16,31.75
NVDA,3/9/16,31.73
NVDA,3/10/16,31.68
NVDA,3/11/16,32.220001
NVDA,3/14/16,32.299999
NVDA,3/15/16,32.139999
NVDA,3/16/16,33.099998
NVDA,3/17/16,32.82
NVDA,3/18/16,33.810001
NVDA,3/21/16,33.91
NVDA,3/22/16,33.849998
NVDA,3/23/16,34.43
NVDA,3/24/16,34.48
NVDA,3/28/16,34.830002
NVDA,3/29/16,35.389999
NVDA,3/30/16,35.759998
NVDA,3/31/16,35.630001
NVDA,4/1/16,36.150002
NVDA,4/4/16,35.799999
NVDA,4/5/16,35.75
NVDA,4/6/16,35.799999
NVDA,4/7/16,35.43
NVDA,4/8/16,35.66
NVDA,4/11/16,35.880001
NVDA,4/12/16,35.84
NVDA,4/13/16,36.740002
NVDA,4/14/16,36.84
NVDA,4/15/16,37.130001
NVDA,4/18/16,36.970001
NVDA,4/19/16,36.310001
NVDA,4/20/16,36.450001
NVDA,4/21/16,36.41
NVDA,4/22/16,36.27
NVDA,4/25/16,36.450001
NVDA,4/26/16,36.48
NVDA,4/27/16,37.310001
NVDA,4/28/16,36.200001
NVDA,4/29/16,35.529999
NVDA,5/2/16,36
NVDA,5/3/16,35.57
NVDA,5/4/16,34.759998
NVDA,5/5/16,34.970001
NVDA,5/6/16,35.330002
NVDA,5/9/16,35.279999
NVDA,5/10/16,35.959999
NVDA,5/11/16,36.060001
NVDA,5/12/16,35.57
NVDA,5/13/16,40.98
NVDA,5/16/16,42.189999
NVDA,5/17/16,42.279999
NVDA,5/18/16,43.360001
NVDA,5/19/16,43.549999
NVDA,5/20/16,44.330002
NVDA,5/23/16,44.400002
NVDA,5/24/16,45.360001
NVDA,5/25/16,45.169998
NVDA,5/26/16,45.650002
NVDA,5/27/16,45.900002
NVDA,5/31/16,46.720001
NVDA,6/1/16,46.810001
NVDA,6/2/16,47.139999
NVDA,6/3/16,46.48
NVDA,6/6/16,46.240002
NVDA,6/7/16,46.330002
NVDA,6/8/16,46.18
NVDA,6/9/16,47.380001
NVDA,6/10/16,46.200001
NVDA,6/13/16,46.790001
NVDA,6/14/16,46.880001
NVDA,6/15/16,47.360001
NVDA,6/16/16,47.549999
NVDA,6/17/16,46.720001
NVDA,6/20/16,47.560001
NVDA,6/21/16,47.27
NVDA,6/22/16,47.23
NVDA,6/23/16,48.490002
NVDA,6/24/16,45.73
NVDA,6/27/16,45.240002
NVDA,6/28/16,45.900002
NVDA,6/29/16,46.650002
NVDA,6/30/16,47.009998
NVDA,7/1/16,46.66
NVDA,7/5/16,47.349998
NVDA,7/6/16,47.650002
NVDA,7/7/16,48.889999
NVDA,7/8/16,50.849998
NVDA,7/11/16,52.02
NVDA,7/12/16,52.799999
NVDA,7/13/16,52.779999
NVDA,7/14/16,53.32
NVDA,7/15/16,52.700001
NVDA,7/18/16,52.970001
NVDA,7/19/16,53.52
NVDA,7/20/16,54.220001
NVDA,7/21/16,53.220001
NVDA,7/22/16,54.669998
NVDA,7/25/16,55.68
NVDA,7/26/16,56.630001
NVDA,7/27/16,56.060001
NVDA,7/28/16,56.18
NVDA,7/29/16,57.099998
NVDA,8/1/16,56.73
NVDA,8/2/16,56.040001
NVDA,8/3/16,56.189999
NVDA,8/4/16,57.23
NVDA,8/5/16,58.200001
NVDA,8/8/16,58.740002
NVDA,8/9/16,58.889999
NVDA,8/10/16,58.509998
NVDA,8/11/16,59.700001
NVDA,8/12/16,63.040001
NVDA,8/15/16,62.98
NVDA,8/16/16,62.599998
NVDA,8/17/16,61.150002
NVDA,8/18/16,62.099998
NVDA,8/19/16,62.259998
NVDA,8/22/16,62.52
NVDA,8/23/16,62.91
